id, expression,mouth_width, mouth_height, eyebrow_left, eyebrow_right, eye_left, eye_right, jaw, nostrils, scale
0, 'neutral', 11.966166496276855, 1.6860666275024414, 6.364887237548828, 6.380975723266602, 3.9394307136535645, 3.963766098022461, 20.743728637695312, 6.392477989196777, 6.0355544090271
1, 'neutral', 12.122446060180664, 1.6939231157302856, 6.379262447357178, 6.389238357543945, 3.9587018489837646, 3.980970859527588, 20.6986026763916, 6.42522668838501, 6.025803565979004
2, 'neutral', 12.183984756469727, 1.669049620628357, 6.327756881713867, 6.324357032775879, 4.071313858032227, 4.09058141708374, 20.665782928466797, 6.424626350402832, 6.013472080230713
3, 'neutral', 12.551755905151367, 1.658715009689331, 6.480111598968506, 6.490030765533447, 3.9846889972686768, 4.003488540649414, 20.327543258666992, 6.491092205047607, 5.965991020202637
4, 'neutral', 12.862723350524902, 1.6319334506988525, 6.354796886444092, 6.34788703918457, 4.095761299133301, 4.1119914054870605, 20.127981185913086, 6.4819231033325195, 5.959286212921143
5, 'neutral', 13.15950870513916, 1.6645050048828125, 6.534578800201416, 6.535415172576904, 3.980743885040283, 3.9890618324279785, 19.974571228027344, 6.579389572143555, 5.938226699829102
6, 'neutral', 13.244997024536133, 1.6502950191497803, 6.442591190338135, 6.438695907592773, 4.030844211578369, 4.044384479522705, 19.994335174560547, 6.587959289550781, 5.948005676269531
7, 'neutral', 13.427841186523438, 1.6462067365646362, 6.478456974029541, 6.48675012588501, 3.9935712814331055, 4.007176876068115, 19.945592880249023, 6.631161689758301, 5.955630302429199
8, 'neutral', 13.557451248168945, 1.672391414642334, 6.3726983070373535, 6.365884780883789, 4.075954914093018, 4.084351539611816, 20.02239418029785, 6.62286376953125, 5.969767093658447
9, 'neutral', 13.635970115661621, 1.6969859600067139, 6.607470989227295, 6.610379695892334, 3.8454596996307373, 3.8589508533477783, 20.073291778564453, 6.591912269592285, 5.956404685974121
10, 'neutral', 13.7146635055542, 1.7254724502563477, 6.398570537567139, 6.397451400756836, 4.053598880767822, 4.068345546722412, 20.036954879760742, 6.59652853012085, 5.974111080169678
11, 'neutral', 13.817112922668457, 1.729353904724121, 6.896183967590332, 6.9113664627075195, 3.6343588829040527, 3.6593241691589355, 20.05120086669922, 6.574239253997803, 5.935885906219482
12, 'neutral', 14.123272895812988, 1.7729939222335815, 7.508246421813965, 7.5372700691223145, 3.384580373764038, 3.407428741455078, 20.001052856445312, 6.591616153717041, 5.841987133026123
13, 'neutral', 14.311761856079102, 1.8056652545928955, 7.759494781494141, 7.811913967132568, 3.3732099533081055, 3.410808563232422, 20.059946060180664, 6.560451030731201, 5.798293590545654
14, 'neutral', 14.379982948303223, 1.7859916687011719, 7.8040595054626465, 7.842471122741699, 3.3337464332580566, 3.3863577842712402, 20.095277786254883, 6.59204626083374, 5.830639362335205
